iter	Passed	Remaining
0	159	158995
1	161	80642
2	164	54585
3	167	41646
4	170	33845
5	172	28547
6	175	24833
7	177	22061
8	180	19925
9	184	18219
10	186	16777
11	188	15530
12	191	14536
13	194	13663
14	197	12984
15	199	12272
16	200	11618
17	203	11084
18	204	10581
19	206	10119
20	208	9704
21	210	9335
22	212	9015
23	213	8699
24	215	8397
25	216	8124
26	218	7881
27	220	7648
28	221	7423
29	223	7218
30	224	7024
31	226	6865
32	228	6702
33	230	6552
34	232	6408
35	233	6261
36	235	6118
37	236	5979
38	237	5852
39	238	5726
40	240	5627
41	242	5520
42	243	5412
43	244	5307
44	245	5209
45	246	5115
46	247	5024
47	248	4936
48	250	4853
49	251	4772
50	252	4693
51	253	4617
52	254	4550
53	256	4496
54	258	4433
55	259	4375
56	260	4313
57	261	4254
58	263	4195
59	264	4138
60	265	4083
61	266	4030
62	267	3978
63	268	3929
64	270	3888
65	272	3855
66	273	3812
67	275	3769
68	276	3725
69	277	3682
70	278	3640
71	279	3599
72	280	3559
73	281	3520
74	282	3483
75	283	3448
76	284	3416
77	287	3396
78	288	3365
79	290	3337
80	291	3307
81	292	3277
82	293	3245
83	295	3219
84	296	3194
85	298	3168
86	299	3142
87	301	3123
88	303	3111
89	305	3087
90	306	3062
91	307	3039
92	309	3018
93	310	2997
94	312	2975
95	313	2954
96	315	2935
97	317	2921
98	318	2902
99	320	2883
100	321	2862
101	323	2845
102	324	2827
103	325	2807
104	327	2787
105	328	2767
106	329	2748
107	331	2735
108	333	2727
109	335	2711
110	336	2697
111	338	2686
112	340	2676
113	342	2662
114	344	2650
115	346	2637
116	347	2625
117	349	2612
118	350	2597
119	352	2583
120	353	2569
121	354	2552
122	356	2538
123	357	2524
124	358	2510
125	360	2499
126	361	2486
127	364	2480
128	365	2467
129	367	2456
130	368	2444
131	369	2431
132	371	2418
133	372	2405
134	373	2394
135	375	2383
136	378	2384
137	380	2375
138	381	2365
139	383	2354
140	384	2344
141	385	2331
142	387	2321
143	389	2313
144	390	2303
145	392	2297
146	394	2291
147	396	2282
148	398	2273
149	399	2262
150	400	2252
151	401	2242
152	403	2233
153	404	2223
154	405	2213
155	407	2207
156	410	2203
157	411	2194
158	413	2185
159	414	2176
160	415	2164
161	416	2156
162	419	2151
163	421	2146
164	423	2142
165	425	2138
166	427	2129
167	428	2120
168	429	2112
169	430	2103
170	432	2096
171	433	2087
172	434	2079
173	436	2070
174	437	2063
175	440	2061
176	442	2055
177	443	2047
178	444	2038
179	445	2030
180	447	2023
181	448	2015
182	449	2007
183	450	1999
184	452	1992
185	454	1988
186	456	1983
187	457	1975
188	458	1968
189	459	1960
190	461	1953
191	462	1947
192	464	1940
193	465	1932
194	466	1925
195	467	1918
196	470	1915
197	471	1911
198	473	1904
199	474	1897
200	475	1891
201	477	1886
202	478	1880
203	480	1874
204	482	1870
205	486	1875
206	488	1869
207	489	1863
208	490	1856
209	492	1850
210	493	1844
211	494	1839
212	496	1833
213	497	1826
214	499	1822
215	501	1821
216	503	1817
217	505	1811
218	506	1806
219	508	1801
220	509	1797
221	511	1793
222	512	1787
223	515	1784
224	517	1783
225	519	1777
226	520	1772
227	522	1767
228	523	1763
229	524	1757
230	526	1751
231	527	1746
232	529	1741
233	531	1738
234	533	1736
235	536	1735
236	537	1730
237	538	1725
238	540	1720
239	541	1714
240	542	1709
241	544	1704
242	545	1700
243	548	1698
244	549	1693
245	550	1688
246	552	1683
247	553	1678
248	555	1674
249	556	1669
250	558	1665
251	559	1660
252	560	1656
253	563	1654
254	565	1652
255	566	1647
256	568	1642
257	569	1637
258	570	1633
259	572	1629
260	573	1625
261	575	1620
262	577	1617
263	579	1615
264	581	1611
265	582	1607
266	584	1603
267	585	1599
268	586	1595
269	588	1591
270	590	1587
271	592	1586
272	595	1585
273	597	1582
274	598	1578
275	600	1574
276	601	1570
277	603	1567
278	604	1563
279	606	1559
280	608	1558
281	611	1556
282	612	1552
283	613	1547
284	615	1544
285	617	1540
286	618	1536
287	620	1532
288	622	1530
289	624	1530
290	626	1526
291	627	1522
292	629	1518
293	630	1514
294	632	1511
295	633	1507
296	635	1504
297	639	1506
298	641	1504
299	642	1500
300	644	1496
301	646	1494
302	647	1490
303	649	1486
304	650	1482
305	652	1479
306	655	1478
307	656	1475
308	658	1472
309	659	1468
310	661	1465
311	662	1460
312	663	1456
313	664	1452
314	666	1448
315	669	1448
316	671	1446
317	672	1442
318	673	1438
319	675	1434
320	676	1430
321	677	1427
322	679	1423
323	680	1420
324	682	1417
325	685	1416
326	686	1413
327	687	1409
328	689	1405
329	690	1402
330	691	1398
331	693	1394
332	694	1390
333	695	1387
334	697	1384
335	699	1383
336	701	1380
337	702	1376
338	704	1373
339	705	1370
340	707	1366
341	708	1363
342	709	1359
343	711	1356
344	712	1353
345	715	1352
346	717	1350
347	718	1346
348	720	1343
349	721	1339
350	722	1336
351	723	1332
352	724	1328
353	726	1325
354	727	1321
355	729	1319
356	731	1317
357	732	1314
358	734	1310
359	735	1307
360	737	1304
361	738	1301
362	739	1298
363	741	1294
364	742	1291
365	744	1289
366	746	1287
367	748	1285
368	749	1282
369	751	1279
370	752	1276
371	753	1272
372	755	1269
373	756	1267
374	758	1263
375	760	1262
376	762	1260
377	764	1257
378	765	1253
379	766	1250
380	767	1247
381	768	1243
382	770	1240
383	771	1238
384	773	1234
385	774	1231
386	776	1230
387	778	1227
388	780	1225
389	782	1223
390	783	1221
391	785	1218
392	786	1215
393	788	1212
394	789	1209
395	792	1208
396	794	1206
397	795	1202
398	796	1199
399	797	1196
400	798	1193
401	800	1190
402	801	1187
403	802	1184
404	804	1181
405	805	1178
406	808	1177
407	809	1174
408	810	1171
409	812	1168
410	813	1166
411	815	1163
412	816	1160
413	817	1157
414	818	1154
415	820	1151
416	822	1150
417	824	1147
418	825	1144
419	826	1141
420	827	1138
421	829	1135
422	830	1132
423	831	1129
424	832	1126
425	834	1124
426	835	1121
427	838	1120
428	839	1117
429	840	1114
430	841	1111
431	843	1108
432	844	1105
433	845	1102
434	847	1100
435	848	1097
436	850	1095
437	851	1092
438	854	1091
439	855	1088
440	856	1085
441	857	1082
442	858	1079
443	860	1077
444	861	1074
445	862	1071
446	863	1068
447	865	1066
448	866	1063
449	868	1062
450	870	1059
451	872	1057
452	873	1055
453	875	1052
454	877	1050
455	878	1047
456	879	1045
457	881	1042
458	883	1040
459	885	1039
460	887	1037
461	888	1034
462	890	1032
463	891	1030
464	893	1027
465	894	1025
466	895	1022
467	897	1020
468	900	1019
469	902	1017
470	903	1014
471	905	1012
472	907	1010
473	909	1008
474	911	1007
475	914	1007
476	916	1005
477	918	1002
478	919	1000
479	921	998
480	922	995
481	924	993
482	925	991
483	927	988
484	929	987
485	931	985
486	933	983
487	935	981
488	936	978
489	938	976
490	939	973
491	940	971
492	942	969
493	944	967
494	946	965
495	948	963
496	949	960
497	950	958
498	952	956
499	953	953
500	955	951
501	956	949
502	958	947
503	961	946
504	962	943
505	964	941
506	965	939
507	967	936
508	968	934
509	970	932
510	971	929
511	973	927
512	976	927
513	977	924
514	979	922
515	981	920
516	982	917
517	983	915
518	985	913
519	986	910
520	988	908
521	990	907
522	992	905
523	994	903
524	995	900
525	997	898
526	998	896
527	1000	894
528	1001	891
529	1003	889
530	1006	888
531	1008	886
532	1009	884
533	1011	882
534	1012	880
535	1014	878
536	1015	875
537	1017	873
538	1018	871
539	1022	871
540	1024	869
541	1026	867
542	1027	864
543	1029	863
544	1031	861
545	1033	859
546	1038	859
547	1040	857
548	1041	855
549	1043	853
550	1044	851
551	1046	849
552	1048	847
553	1050	846
554	1053	844
555	1055	842
556	1057	840
557	1059	838
558	1060	836
559	1062	834
560	1063	832
561	1065	830
562	1068	829
563	1070	827
564	1071	825
565	1073	822
566	1074	820
567	1076	818
568	1077	816
569	1079	814
570	1081	812
571	1083	811
572	1085	809
573	1087	806
574	1088	804
575	1090	802
576	1091	800
577	1092	797
578	1094	795
579	1095	793
580	1098	791
581	1099	789
582	1101	787
583	1102	785
584	1104	783
585	1105	781
586	1107	779
587	1108	776
588	1110	775
589	1113	773
590	1114	771
591	1116	769
592	1118	767
593	1120	765
594	1121	763
595	1122	761
596	1124	758
597	1125	756
598	1128	755
599	1130	753
600	1132	752
601	1136	751
602	1148	755
603	1151	754
604	1155	754
605	1164	757
606	1167	755
607	1176	758
608	1178	756
609	1180	754
610	1184	753
611	1190	754
612	1193	753
613	1196	752
614	1198	750
615	1199	747
616	1202	746
617	1204	744
618	1206	742
619	1208	740
620	1210	738
621	1211	736
622	1213	734
623	1215	732
624	1218	731
625	1220	729
626	1222	727
627	1223	725
628	1225	722
629	1227	720
630	1228	718
631	1230	716
632	1233	715
633	1236	713
634	1237	711
635	1239	709
636	1240	707
637	1242	704
638	1244	702
639	1248	702
640	1250	700
641	1251	698
642	1253	695
643	1255	693
644	1256	691
645	1258	689
646	1260	687
647	1263	686
648	1264	684
649	1266	681
650	1268	679
651	1270	677
652	1271	675
